episode_reward,nb_episode_steps,nb_steps
-74.0,75,145332
-82.0,83,145415
-69.0,70,145485
-98.0,99,145584
-75.0,76,145660
-80.0,81,145741
-70.0,71,145812
-73.0,74,145886
-92.0,93,145979
-76.0,77,146056
-78.0,79,146135
-63.0,64,146199
-75.0,76,146275
-74.0,75,146350
-90.0,91,146441
-62.0,63,146504
-70.0,71,146575
-71.0,72,146647
-94.0,95,146742
-82.0,83,146825
-88.0,89,146914
-80.0,81,146995
-89.0,90,147085
-82.0,83,147168
-159.0,160,147328
-71.0,72,147400
-72.0,73,147473
-77.0,78,147551
-86.0,87,147638
-77.0,78,147716
-92.0,93,147809
-76.0,77,147886
-70.0,71,147957
-81.0,82,148039
-85.0,86,148125
-92.0,93,148218
-94.0,95,148313
-75.0,76,148389
-89.0,90,148479
-83.0,84,148563
-76.0,77,148640
-125.0,126,148766
-77.0,78,148844
-92.0,93,148937
-91.0,92,149029
-81.0,82,149111
-70.0,71,149182
-86.0,87,149269
-130.0,131,149400
-75.0,76,149476
-71.0,72,149548
-84.0,85,149633
-68.0,69,149702
-76.0,77,149779
-94.0,95,149874
-82.0,83,149957
-94.0,95,150052
-98.0,99,150151
-114.0,115,150266
-92.0,93,150359
-99.0,100,150459
-73.0,74,150533
-77.0,78,150611
-104.0,105,150716
-92.0,93,150809
-91.0,92,150901
-82.0,83,150984
-80.0,81,151065
-82.0,83,151148
-85.0,86,151234
-61.0,62,151296
-74.0,75,151371
-76.0,77,151448
-72.0,73,151521
-80.0,81,151602
-168.0,169,151771
-91.0,92,151863
-76.0,77,151940
-98.0,99,152039
-69.0,70,152109
-81.0,82,152191
-73.0,74,152265
-88.0,89,152354
-99.0,100,152454
-107.0,108,152562
-81.0,82,152644
-93.0,94,152738
-74.0,75,152813
-85.0,86,152899
-83.0,84,152983
-92.0,93,153076
-90.0,91,153167
-69.0,70,153237
-85.0,86,153323
-96.0,97,153420
-136.0,137,153557
-83.0,84,153641
-92.0,93,153734
-76.0,77,153811
-82.0,83,153894
-73.0,74,153968
-94.0,95,154063
-76.0,77,154140
-63.0,64,154204
-77.0,78,154282
-136.0,137,154419
-111.0,112,154531
-86.0,87,154618
-74.0,75,154693
-92.0,93,154786
-63.0,64,154850
-82.0,83,154933
-81.0,82,155015
-63.0,64,155079
-76.0,77,155156
-71.0,72,155228
-74.0,75,155303
-78.0,79,155382
-91.0,92,155474
-71.0,72,155546
-108.0,109,155655
-70.0,71,155726
-71.0,72,155798
-76.0,77,155875
-82.0,83,155958
-99.0,100,156058
-89.0,90,156148
-75.0,76,156224
-84.0,85,156309
-78.0,79,156388
-124.0,125,156513
-81.0,82,156595
-85.0,86,156681
-86.0,87,156768
-75.0,76,156844
-76.0,77,156921
-85.0,86,157007
-81.0,82,157089
-70.0,71,157160
-82.0,83,157243
-82.0,83,157326
-112.0,113,157439
-71.0,72,157511
-117.0,118,157629
-75.0,76,157705
-91.0,92,157797
-91.0,92,157889
-85.0,86,157975
-89.0,90,158065
-118.0,119,158184
-80.0,81,158265
-94.0,95,158360
-76.0,77,158437
-88.0,89,158526
-72.0,73,158599
-86.0,87,158686
-107.0,108,158794
-74.0,75,158869
-74.0,75,158944
-87.0,88,159032
-117.0,118,159150
-89.0,90,159240
-77.0,78,159318
-76.0,77,159395
-75.0,76,159471
-85.0,86,159557
-82.0,83,159640
-90.0,91,159731
-77.0,78,159809
-90.0,91,159900
-87.0,88,159988
-91.0,92,160080
-113.0,114,160194
-91.0,92,160286
-93.0,94,160380
-62.0,63,160443
-97.0,98,160541
-93.0,94,160635
-91.0,92,160727
-118.0,119,160846
-75.0,76,160922
-87.0,88,161010
-99.0,100,161110
-123.0,124,161234
-101.0,102,161336
-206.0,207,161543
-88.0,89,161632
-71.0,72,161704
-63.0,64,161768
