episode_reward,nb_episode_steps,nb_steps
-76.0,77,146202
-90.0,91,146293
-99.0,100,146393
-81.0,82,146475
-104.0,105,146580
-110.0,111,146691
-83.0,84,146775
-75.0,76,146851
-84.0,85,146936
-76.0,77,147013
-115.0,116,147129
-79.0,80,147209
-92.0,93,147302
-95.0,96,147398
-73.0,74,147472
-72.0,73,147545
-70.0,71,147616
-80.0,81,147697
-73.0,74,147771
-98.0,99,147870
-89.0,90,147960
-104.0,105,148065
-73.0,74,148139
-75.0,76,148215
-74.0,75,148290
-93.0,94,148384
-82.0,83,148467
-95.0,96,148563
-83.0,84,148647
-92.0,93,148740
-111.0,112,148852
-109.0,110,148962
-85.0,86,149048
-85.0,86,149134
-76.0,77,149211
-92.0,93,149304
-84.0,85,149389
-77.0,78,149467
-93.0,94,149561
-69.0,70,149631
-78.0,79,149710
-74.0,75,149785
-70.0,71,149856
-84.0,85,149941
